Year,Sampling trip,Date,Region code,Region,Site Name,Waypoint,Lat deg,Lat min,Long deg,Long min,Time,Temperature,Salinity,Oxygen,Habitat,Total Age-0 Gadid count,# Saffron cod,# Pacific cod,# Pollock,#1+ Pacific cod,#2+ Pacific cod,# 1+ Saffron,# 2+ Saffron,#1+Pollock,pink salmon smolt,chum salmon smolt
2022,1,7/12/2022,2,Anton Larson Bay,Cobble point,,,,,,1612,10.6,31.8,10.59,Eelgrass,5,0,5,0,0,0,0,0,0,0,0
2022,1,7/12/2022,2,Anton Larson Bay,White rock,,,,,,1638,13.5,30,10.82,Bare,2,2,0,0,0,0,0,0,5,7,5
2022,1,7/13/2022,2,Anton Larson Bay,Eelgrass patches,,,,,,620,11,31.5,10.36,Eelgrass,10,0,10,0,0,0,0,0,23,4,0
2022,1,7/13/2022,2,Anton Larson Bay,Laminaria Point,,,,,,702,10.9,30.5,9.44,Laminaria,2,2,0,0,0,0,0,0,24,0,0
2022,1,7/13/2022,2,Anton Larson Bay,Eelgrass point,,,,,,729,10.9,30.7,9.7,Eelgrass,134,0,104,30,0,0,0,0,4,0,0
2022,1,7/13/2022,2,Anton Larson Bay,Laminaria #2,,,,,,1011,10.2,32.7,10.35,Laminaria,0,0,0,0,0,0,0,0,0,10,2
2022,1,7/13/2022,2,Anton Larson Bay,Wooden boat,,,,,,1035,9.8,33.1,9.5,Laminaria,23,0,23,0,0,0,0,0,0,0,0
2022,1,7/13/2022,2,Anton Larson Bay,Back Bay eelgrass,,,,,,1115,10.9,32.3,10.4,Eelgrass,0,0,0,0,0,0,0,0,3,0,0
2022,1,7/13/2022,2,Anton Larson Bay,Cobble point,,,,,,1213,10.6,32.1,10.55,Eelgrass,164,0,157,7,0,0,0,0,0,0,0
2022,1,7/13/2022,2,Anton Larson Bay,White rock,,,,,,1248,10.4,32.2,10.5,Bare,0,0,0,0,0,0,0,0,4,7,2
2022,1,7/14/2022,2,Anton Larson Bay,Eelgrass patches,,,,,,1126,10.5,32.5,10.5,Eelgrass,2,0,2,0,0,0,0,0,9,0,0
2022,1,7/14/2022,2,Anton Larson Bay,Laminaria Point,,,,,,1200,9.2,33.2,10.08,Laminaria,6,0,6,0,0,0,0,0,0,0,0
2022,1,7/14/2022,2,Anton Larson Bay,Eelgrass point,,,,,,1230,9.5,33,10.94,Eelgrass,77,0,63,14,0,0,0,0,0,0,0
2022,1,7/14/2022,2,Anton Larson Bay,Laminaria #2,,,,,,1304,10.4,33.1,10.26,Laminaria,0,0,0,0,0,0,0,0,0,1,0
2022,1,7/14/2022,2,Anton Larson Bay,Wooden boat,,,,,,1324,11.1,32.6,10.1,Laminaria,3,0,2,1,0,0,0,0,0,47,2
2022,1,7/14/2022,2,Anton Larson Bay,Back Bay eelgrass,,,,,,1349,11.8,32.4,11.84,Eelgrass,2,0,2,0,0,0,0,0,3,2,0
2022,1,7/15/2022,1,Cook Bay,Eelgrass West,,,,,,835,11.7,33.6,10.33,Eelgrass,1780,0,623,1157,8,5,0,0,0,0,0
2022,1,7/15/2022,1,Cook Bay,Laminaria South,,,,,,1300,11.1,33.6,11.41,Laminaria,0,0,0,0,0,0,0,0,0,0,0
2022,1,7/15/2022,1,Cook Bay,Eelgrass South,,,,,,1350,10.2,33.7,9.95,Eelgrass,331,0,321,10,2,0,0,0,0,0,0
2022,1,7/15/2022,1,Cook Bay,Laminaria East,,,,,,1449,10,33.8,9.67,Laminaria,9,0,9,0,0,0,0,0,0,0,0
2022,1,7/15/2022,1,Cook Bay,Bare North,,,,,,1504,11,33.8,9.32,Bare,1,0,1,0,0,0,0,0,0,0,0
2022,1,7/15/2022,1,Cook Bay,Middle Cove,,,,,,1529,10.3,33.8,9.6,Bare,6,0,6,0,2,0,0,0,0,0,0
2022,1,7/16/2022,1,Cook Bay,Eelgrass North,,,,,,845,11,33.2,9.2,Eelgrass,12,0,12,0,0,0,0,0,0,0,0
2022,1,7/16/2022,1,Cook Bay,Eelgrass West,,,,,,919,10.8,33.3,9.81,Eelgrass,760,0,364,396,0,0,0,0,0,0,0
2022,1,7/16/2022,1,Cook Bay,Eelgrass South,,,,,,1125,10,33.7,10.35,Eelgrass,3469,0,1353,2116,3,0,0,0,0,0,0
2022,1,7/16/2022,1,Cook Bay,Laminaria North,,,,,,1310,11.5,33.6,9.61,Laminaria,0,0,0,0,0,0,0,0,0,0,0
2022,1,7/16/2022,1,Cook Bay,Laminaria East,,,,,,1335,11,33.6,10.32,Laminaria,543,0,450,93,0,0,0,0,0,0,0
2022,1,7/16/2022,1,Cook Bay,Middle Cove,,,,,,1440,10,33.7,10.41,Bare,208,0,105,103,2,0,0,0,0,2,0
2022,1,7/16/2022,1,Cook Bay,Bare North,,,,,,1525,11.6,33.6,10,Bare,0,0,0,0,0,0,0,0,0,0,0
2022,1,7/17/2022,1,Cook Bay,Eelgrass North,,,,,,935,10.8,33.5,9.02,Eelgrass,51,0,51,0,0,0,0,0,0,1,0
2022,1,7/17/2022,1,Cook Bay,Laminaria North,,,,,,1000,10.7,33.7,9.76,Laminaria,0,0,0,0,0,0,0,0,0,0,0
2022,1,7/17/2022,1,Cook Bay,Laminaria South,,,,,,1035,9.8,33.7,10.17,Laminaria,331,0,281,50,0,0,0,0,0,0,0
2022,2,8/26/2022,2,Anton Larson Bay,Eelgrass patches,,,,,,640,11.3,29.8,9.39,Eelgrass,29,1,28,0,0,0,0,0,8,0,0
2022,2,8/26/2022,2,Anton Larson Bay,Laminaria Point,,,,,,720,11.5,28.8,9.07,Laminaria,8,0,8,0,0,0,0,0,0,0,0
2022,2,8/26/2022,2,Anton Larson Bay,Eelgrass point,,,,,,740,11.5,28.4,9.19,Eelgrass,142,0,136,6,0,0,0,0,1,0,0
2022,2,8/26/2022,2,Anton Larson Bay,laminaria #2,,,,,,834,11.7,29,8.73,Laminaria,43,0,43,0,0,0,0,0,0,0,0
2022,2,8/26/2022,2,Anton Larson Bay,Wooden boat,,,,,,915,11.8,27.8,9.1,Laminaria,0,0,0,0,0,0,0,0,0,0,0
2022,2,8/26/2022,2,Anton Larson Bay,Back Bay eelgrass,,,,,,1035,12.4,26.8,9.48,Eelgrass,0,0,0,0,0,0,0,0,0,0,0
2022,2,8/26/2022,2,Anton Larson Bay,Cobble point,,,,,,1300,11.3,30.4,9.61,Eelgrass,1,1,0,0,0,0,0,0,0,0,0
2022,2,8/26/2022,2,Anton Larson Bay,White rock,,,,,,1337,11.9,28.8,9.65,Bare,6,0,6,0,0,0,0,0,0,0,0
2022,2,8/27/2022,1,Cook Bay,Eelgrass North,,,,,,700,11.6,32.8,8,Eelgrass,109,0,109,0,0,0,0,0,0,0,0
2022,2,8/27/2022,1,Cook Bay,Laminaria South,,,,,,735,10.9,32.8,8.9,Laminaria,1058,0,1058,0,0,0,0,0,0,0,0
2022,2,8/27/2022,1,Cook Bay,Eelgrass South,,,,,,850,10.9,32.5,9,Eelgrass,1054,0,1017,37,0,0,0,0,0,0,0
2022,2,8/27/2022,1,Cook Bay,Laminaria East,,,,,,938,10.9,33,9,Laminaria,343,0,308,35,1,0,0,0,0,0,0
2022,2,8/27/2022,1,Cook Bay,Laminaria North,,,,,,1030,10.9,33.1,8.5,Laminaria,59,0,59,0,0,0,0,0,0,0,0
2022,2,8/27/2022,1,Cook Bay,Eelgrass West,,,,,,1057,11.7,32.7,9.6,Eelgrass,790,0,724,66,1,0,0,0,0,0,0
2022,2,8/27/2022,1,Cook Bay,Bare North,,,,,,1418,11,33,9.4,Bare,144,0,144,0,0,0,0,0,0,0,0
2022,2,8/27/2022,1,Cook Bay,Middle cove,,,,,,1430,10.7,33,8.8,Bare,193,0,193,0,0,0,0,0,0,0,0
2022,2,8/28/2022,1,Cook Bay,Eelgrass North,,,,,,730,10.8,33,7.7,Eelgrass,192,1,191,0,0,0,0,0,0,0,0
2022,2,8/28/2022,1,Cook Bay,Laminaria North,,,,,,805,10.8,32.8,7.9,Laminaria,38,0,38,0,0,0,0,0,0,0,0
2022,2,8/28/2022,1,Cook Bay,Eelgrass West,,,,,,825,11.1,32.6,9.1,Eelgrass,365,0,345,20,0,0,0,0,0,0,0
2022,2,8/28/2022,1,Cook Bay,Laminaria East,,,,,,915,10.7,32.8,8.1,Laminaria,620,0,527,93,0,0,0,0,0,0,0
2022,2,8/28/2022,1,Cook Bay,Eelgrass South,,,,,,955,10.8,32.4,8.4,Eelgrass,270,0,193,77,0,0,0,0,0,0,0
2022,2,8/28/2022,1,Cook Bay,Laminaria South,,,,,,1035,10.8,32.1,8.7,Laminaria,1049,0,1014,35,0,0,0,0,0,0,0
2022,2,8/28/2022,1,Cook Bay,Bare North,,,,,,1405,10.9,33,8.8,Bare,122,0,122,0,0,0,0,0,0,0,0
2022,2,8/28/2022,1,Cook Bay,Middle cove,,,,,,1420,10.8,33.1,8.8,Bare,173,0,173,0,0,0,0,0,0,0,0
2022,2,8/29/2022,2,Anton Larson Bay,Eelgrass patches,,,,,,835,11.5,29,10.1,Eelgrass,5,0,5,0,0,0,0,0,33,0,0
2022,2,8/29/2022,2,Anton Larson Bay,Laminaria Point,,,,,,900,11.5,29.5,9.8,Laminaria,50,0,50,0,0,0,0,0,0,0,0
2022,2,8/29/2022,2,Anton Larson Bay,Eelgrass point,,,,,,1125,11.1,29.7,9.3,Eelgrass,19,1,18,0,0,0,0,0,3,0,0
2022,2,8/29/2022,2,Anton Larson Bay,Laminaria #2,,,,,,1014,10.6,31.8,8.3,Laminaria,8,0,8,0,0,0,0,0,0,0,0
2022,2,8/29/2022,2,Anton Larson Bay,Wooden boat,,,,,,1050,10.8,31.7,8.6,Laminaria,0,0,0,0,0,0,0,0,0,0,0
2022,2,8/29/2022,2,Anton Larson Bay,Back Bay eelgrass,,,,,,1225,11.4,31.8,10.8,Eelgrass,0,0,0,0,0,0,0,0,0,0,0
2022,2,8/29/2022,2,Anton Larson Bay,Cobble point,,,,,,1415,11.4,30.9,11.2,Bare,0,0,0,0,0,0,0,0,0,0,0
2022,2,8/29/2022,2,Anton Larson Bay,White rock,,,,,,1438,11.7,31,10.3,Bare,2,0,2,0,0,0,0,0,0,0,0
