"year","julian","site","bay","temperature"
2006,196,"Back Bay eelgrass","Anton Larson Bay",12.3
2006,197,"Back Bay eelgrass","Anton Larson Bay",11.4
2006,197,"Cobble point","Anton Larson Bay",11.7
2006,196,"Eelgrass patches","Anton Larson Bay",14.8
2006,197,"Eelgrass point","Anton Larson Bay",11.9
2006,198,"Eelgrass point","Anton Larson Bay",10.7
2006,196,"Laminaria #2","Anton Larson Bay",10.9
2006,197,"Laminaria #2","Anton Larson Bay",11.7
2006,198,"Laminaria #2","Anton Larson Bay",10.4
2006,197,"Laminaria Point","Anton Larson Bay",11.8
2006,198,"Laminaria Point","Anton Larson Bay",11.2
2006,196,"White rock","Anton Larson Bay",14.1
2006,197,"White rock","Anton Larson Bay",14.1
2006,198,"White rock","Anton Larson Bay",10.9
2006,196,"Wooden boat","Anton Larson Bay",13
2006,197,"Wooden boat","Anton Larson Bay",11
2006,237,"Bare North","Cook Bay",11.1
2006,237,"Eelgrass North","Cook Bay",10.7
2006,237,"Eelgrass South","Cook Bay",10.4
2006,237,"Eelgrass West","Cook Bay",10.6
2006,240,"Laminaria East","Cook Bay",10.8
2006,237,"Laminaria North","Cook Bay",10.7
2006,237,"Laminaria South","Cook Bay",10.4
2006,240,"Laminaria South","Cook Bay",11.7
2006,237,"Middle Cove","Cook Bay",10.5
2006,231,"Back Bay eelgrass","Anton Larson Bay",11.8
2006,232,"Back Bay eelgrass","Anton Larson Bay",12.1
2006,233,"Back Bay eelgrass","Anton Larson Bay",12.4
2006,231,"Cobble point","Anton Larson Bay",11.4
2006,232,"Cobble point","Anton Larson Bay",11.1
2006,233,"Cobble point","Anton Larson Bay",11.2
2006,232,"Eelgrass patches","Anton Larson Bay",10.5
2006,233,"Eelgrass patches","Anton Larson Bay",10.7
2006,231,"Eelgrass point","Anton Larson Bay",10.6
2006,232,"Eelgrass point","Anton Larson Bay",10.4
2006,233,"Eelgrass point","Anton Larson Bay",11.1
2006,231,"Laminaria #2","Anton Larson Bay",10.4
2006,232,"Laminaria #2","Anton Larson Bay",12
2006,233,"Laminaria #2","Anton Larson Bay",11.6
2006,231,"Laminaria Point","Anton Larson Bay",10.8
2006,232,"Laminaria Point","Anton Larson Bay",10.8
2006,233,"Laminaria Point","Anton Larson Bay",11.1
2006,231,"White rock","Anton Larson Bay",11.2
2006,232,"White rock","Anton Larson Bay",11.6
2006,233,"White rock","Anton Larson Bay",11.8
2006,231,"Wooden boat","Anton Larson Bay",10.7
2006,232,"Wooden boat","Anton Larson Bay",12.2
2006,233,"Wooden boat","Anton Larson Bay",11.2
2007,205,"Bare North","Cook Bay",9.8
2007,207,"Bare North","Cook Bay",9.7
2007,205,"Eelgrass North","Cook Bay",9.6
2007,207,"Eelgrass North","Cook Bay",9.9
2007,205,"Eelgrass South","Cook Bay",10.5
2007,207,"Eelgrass South","Cook Bay",10.1
2007,205,"Eelgrass West","Cook Bay",10
2007,207,"Eelgrass West","Cook Bay",9.7
2007,205,"Laminaria East","Cook Bay",9.9
2007,207,"Laminaria East","Cook Bay",10
2007,205,"Laminaria North","Cook Bay",9.6
2007,207,"Laminaria North","Cook Bay",9.7
2007,205,"Laminaria South","Cook Bay",10.4
2007,207,"Laminaria South","Cook Bay",10.1
2007,205,"Middle Cove","Cook Bay",9.9
2007,207,"Middle Cove","Cook Bay",9.9
2007,202,"Back Bay eelgrass","Anton Larson Bay",12
2007,202,"Eelgrass patches","Anton Larson Bay",9.7
2007,202,"Eelgrass point","Anton Larson Bay",9.3
2007,202,"Laminaria #2","Anton Larson Bay",11.1
2007,202,"Laminaria Point","Anton Larson Bay",8.3
2007,202,"White rock","Anton Larson Bay",9.2
2008,201,"Bare North","Cook Bay",10.5
2008,201,"Eelgrass South","Cook Bay",9.8
2008,201,"Eelgrass West","Cook Bay",12.3
2008,201,"Laminaria East","Cook Bay",9.1
2008,201,"Laminaria North","Cook Bay",9.8
2008,201,"Laminaria South","Cook Bay",9.6
2008,201,"Middle Cove","Cook Bay",9.1
2008,198,"Back Bay eelgrass","Anton Larson Bay",11.1
2008,196,"Eelgrass point","Anton Larson Bay",9.4
2008,198,"Eelgrass point","Anton Larson Bay",11.1
2008,196,"Laminaria #2","Anton Larson Bay",12.1
2008,198,"Laminaria #2","Anton Larson Bay",11.5
2008,198,"White rock","Anton Larson Bay",11.5
2008,240,"Bare North","Cook Bay",11
2008,240,"Eelgrass South","Cook Bay",10.3
2008,240,"Eelgrass West","Cook Bay",10.9
2008,240,"Laminaria East","Cook Bay",10.4
2008,240,"Laminaria North","Cook Bay",10.8
2008,240,"Laminaria South","Cook Bay",10.4
2008,238,"Back Bay eelgrass","Anton Larson Bay",11.3
2008,236,"Cobble point","Anton Larson Bay",10.9
2008,236,"Eelgrass patches","Anton Larson Bay",10.9
2008,238,"Eelgrass patches","Anton Larson Bay",11.7
2008,238,"Eelgrass point","Anton Larson Bay",10.6
2008,238,"Laminaria #2","Anton Larson Bay",10.7
2008,238,"Laminaria Point","Anton Larson Bay",10.9
2008,238,"Wooden boat","Anton Larson Bay",11.2
2009,196,"Bare North","Cook Bay",12.3
2009,196,"Bare North","Cook Bay",11.7
2009,196,"Eelgrass North","Cook Bay",11.8
2009,196,"Eelgrass North","Cook Bay",12.5
2009,196,"Eelgrass South","Cook Bay",11.2
2009,196,"Eelgrass South","Cook Bay",11.6
2009,196,"Eelgrass West","Cook Bay",12.2
2009,196,"Eelgrass West","Cook Bay",11
2009,196,"Laminaria East","Cook Bay",11.6
2009,196,"Laminaria East","Cook Bay",11.3
2009,196,"Laminaria North","Cook Bay",11.3
2009,196,"Laminaria North","Cook Bay",12.2
2009,196,"Laminaria South","Cook Bay",12.5
2009,196,"Laminaria South","Cook Bay",13
2009,196,"Middle Cove","Cook Bay",12.4
2009,196,"Middle Cove","Cook Bay",11.5
2009,195,"Back Bay eelgrass","Anton Larson Bay",12.1
2009,194,"Cobble point","Anton Larson Bay",14.5
2009,195,"Cobble point","Anton Larson Bay",12.2
2009,194,"Eelgrass patches","Anton Larson Bay",14.8
2009,195,"Eelgrass patches","Anton Larson Bay",12.2
2009,194,"Eelgrass point","Anton Larson Bay",13.9
2009,195,"Eelgrass point","Anton Larson Bay",11.1
2009,194,"Laminaria #2","Anton Larson Bay",12.9
2009,195,"Laminaria #2","Anton Larson Bay",11.9
2009,194,"Laminaria Point","Anton Larson Bay",13.9
2009,195,"Laminaria Point","Anton Larson Bay",11.7
2009,194,"White rock","Anton Larson Bay",12.6
2009,195,"White rock","Anton Larson Bay",11.7
2009,194,"Wooden boat","Anton Larson Bay",11.9
2009,195,"Wooden boat","Anton Larson Bay",12.3
2009,238,"Bare North","Cook Bay",9.7
2009,238,"Eelgrass North","Cook Bay",9.7
2009,238,"Eelgrass South","Cook Bay",10.4
2009,238,"Eelgrass West","Cook Bay",10
2009,238,"Laminaria East","Cook Bay",9.8
2009,238,"Laminaria North","Cook Bay",9.6
2009,238,"Laminaria South","Cook Bay",10.3
2009,238,"Middle Cove","Cook Bay",9.7
2009,235,"Cobble point","Anton Larson Bay",10.6
2009,236,"Cobble point","Anton Larson Bay",10.2
2009,235,"Eelgrass patches","Anton Larson Bay",10.8
2009,236,"Eelgrass patches","Anton Larson Bay",10.2
2009,235,"Eelgrass point","Anton Larson Bay",10.4
2009,236,"Eelgrass point","Anton Larson Bay",10.2
2009,235,"Laminaria #2","Anton Larson Bay",10.5
2009,236,"Laminaria #2","Anton Larson Bay",11
2009,235,"Laminaria Point","Anton Larson Bay",9.9
2009,236,"Laminaria Point","Anton Larson Bay",9.8
2009,235,"White rock","Anton Larson Bay",10.4
2009,236,"White rock","Anton Larson Bay",10.1
2009,236,"Wooden boat","Anton Larson Bay",11.5
2010,200,"Bare North","Cook Bay",10.5
2010,201,"Bare North","Cook Bay",10.5
2010,200,"Eelgrass North","Cook Bay",11.3
2010,201,"Eelgrass North","Cook Bay",11.4
2010,200,"Eelgrass South","Cook Bay",11.3
2010,201,"Eelgrass South","Cook Bay",10
2010,200,"Eelgrass West","Cook Bay",10.8
2010,201,"Eelgrass West","Cook Bay",12
2010,200,"Laminaria East","Cook Bay",10.8
2010,201,"Laminaria East","Cook Bay",10
2010,200,"Laminaria North","Cook Bay",10.8
2010,201,"Laminaria North","Cook Bay",11.4
2010,200,"Laminaria South","Cook Bay",10.8
2010,201,"Laminaria South","Cook Bay",10.1
2010,200,"Middle Cove","Cook Bay",10.8
2010,201,"Middle Cove","Cook Bay",10
2010,195,"Back Bay eelgrass","Anton Larson Bay",11.9
2010,195,"Cobble point","Anton Larson Bay",10.4
2010,195,"Eelgrass patches","Anton Larson Bay",10.2
2010,195,"Eelgrass point","Anton Larson Bay",10.2
2010,195,"Laminaria #2","Anton Larson Bay",10.4
2010,195,"Laminaria Point","Anton Larson Bay",9.3
2010,195,"Wooden boat","Anton Larson Bay",9.9
2010,235,"Bare North","Cook Bay",11.6
2010,235,"Eelgrass South","Cook Bay",11.5
2010,235,"Eelgrass West","Cook Bay",11.9
2010,235,"Laminaria East","Cook Bay",12
2010,239,"Laminaria East","Cook Bay",11.2
2010,235,"Laminaria South","Cook Bay",11.7
2010,239,"Laminaria South","Cook Bay",11
2010,235,"Middle Cove","Cook Bay",11.6
2010,237,"Back Bay eelgrass","Anton Larson Bay",12.6
2010,236,"Cobble point","Anton Larson Bay",11.2
2010,237,"Cobble point","Anton Larson Bay",10.7
2010,236,"Eelgrass patches","Anton Larson Bay",11.4
2010,237,"Eelgrass patches","Anton Larson Bay",11.8
2010,236,"Eelgrass point","Anton Larson Bay",10.6
2010,237,"Eelgrass point","Anton Larson Bay",10.5
2010,236,"Laminaria #2","Anton Larson Bay",12.8
2010,237,"Laminaria #2","Anton Larson Bay",11.6
2010,236,"Laminaria Point","Anton Larson Bay",10.3
2010,237,"Laminaria Point","Anton Larson Bay",11.6
2010,195,"White rock","Anton Larson Bay",10.4
2010,236,"White rock","Anton Larson Bay",10.5
2010,237,"White rock","Anton Larson Bay",11.2
2010,237,"Wooden boat","Anton Larson Bay",11.1
2011,200,"Eelgrass North","Cook Bay",11.6
2011,201,"Eelgrass North","Cook Bay",10.6
2011,200,"Eelgrass South","Cook Bay",10.5
2011,200,"Eelgrass West","Cook Bay",10.7
2011,201,"Eelgrass West","Cook Bay",10.5
2011,200,"Laminaria North","Cook Bay",10.9
2011,201,"Laminaria North","Cook Bay",10.4
2011,200,"Laminaria South","Cook Bay",10.2
2011,200,"Middle Cove","Cook Bay",10.3
2011,194,"Back Bay eelgrass","Anton Larson Bay",11.6
2011,194,"Cobble point","Anton Larson Bay",10.6
2011,194,"Eelgrass patches","Anton Larson Bay",10.4
2011,194,"Eelgrass point","Anton Larson Bay",10.2
2011,194,"Laminaria #2","Anton Larson Bay",11.2
2011,194,"Laminaria Point","Anton Larson Bay",10.2
2011,194,"White rock","Anton Larson Bay",10.6
2011,194,"Wooden boat","Anton Larson Bay",11.2
2011,241,"Bare North","Cook Bay",10.6
2011,241,"Eelgrass North","Cook Bay",11.3
2011,241,"Eelgrass South","Cook Bay",10.5
2011,241,"Eelgrass West","Cook Bay",11.2
2011,241,"Laminaria East","Cook Bay",10.3
2011,241,"Laminaria North","Cook Bay",10.9
2011,241,"Laminaria South","Cook Bay",10.3
2011,241,"Middle Cove","Cook Bay",10.4
2011,234,"Back Bay eelgrass","Anton Larson Bay",11.7
2011,234,"Cobble point","Anton Larson Bay",11.5
2011,234,"Eelgrass patches","Anton Larson Bay",11.6
2011,234,"Eelgrass point","Anton Larson Bay",11.8
2011,234,"Laminaria #2","Anton Larson Bay",11.3
2011,234,"Laminaria Point","Anton Larson Bay",11.8
2011,234,"White rock","Anton Larson Bay",11.2
2011,234,"Wooden boat","Anton Larson Bay",11.4
2012,200,"Bare North","Cook Bay",10.3
2012,200,"Eelgrass North","Cook Bay",9.9
2012,200,"Eelgrass South","Cook Bay",10.1
2012,200,"Laminaria North","Cook Bay",10.6
2012,200,"Laminaria South","Cook Bay",10.3
2012,195,"Back Bay eelgrass","Anton Larson Bay",11.1
2012,196,"Back Bay eelgrass","Anton Larson Bay",11.8
2012,195,"Cobble point","Anton Larson Bay",9.8
2012,195,"Eelgrass patches","Anton Larson Bay",10.5
2012,195,"Eelgrass point","Anton Larson Bay",10.9
2012,196,"Eelgrass point","Anton Larson Bay",10.2
2012,195,"Laminaria #2","Anton Larson Bay",10.7
2012,195,"Laminaria Point","Anton Larson Bay",10.1
2012,196,"Laminaria Point","Anton Larson Bay",10.6
2012,195,"White rock","Anton Larson Bay",9.2
2012,196,"White rock","Anton Larson Bay",11.6
2012,195,"Wooden boat","Anton Larson Bay",10.5
2012,196,"Wooden boat","Anton Larson Bay",11.3
2012,242,"Bare North","Cook Bay",10.7
2012,242,"Eelgrass North","Cook Bay",10.8
2012,242,"Eelgrass South","Cook Bay",10.2
2012,242,"Eelgrass West","Cook Bay",10.5
2012,242,"Laminaria East","Cook Bay",10.3
2012,242,"Laminaria North","Cook Bay",10.7
2012,242,"Laminaria South","Cook Bay",10.2
2012,242,"Middle Cove","Cook Bay",10.5
2012,237,"Back Bay eelgrass","Anton Larson Bay",10.4
2012,237,"Cobble point","Anton Larson Bay",9.8
2012,237,"Eelgrass patches","Anton Larson Bay",9.7
2012,237,"Eelgrass point","Anton Larson Bay",9.9
2012,237,"Laminaria #2","Anton Larson Bay",10.2
2012,237,"Laminaria Point","Anton Larson Bay",9.5
2012,237,"White rock","Anton Larson Bay",10.1
2012,237,"Wooden boat","Anton Larson Bay",10
2013,206,"Bare North","Cook Bay",11
2013,207,"Bare North","Cook Bay",11.2
2013,206,"Eelgrass North","Cook Bay",12.4
2013,207,"Eelgrass North","Cook Bay",11.1
2013,206,"Eelgrass South","Cook Bay",10.8
2013,207,"Eelgrass South","Cook Bay",12
2013,206,"Eelgrass West","Cook Bay",12.5
2013,207,"Eelgrass West","Cook Bay",12
2013,206,"Laminaria East","Cook Bay",10.7
2013,207,"Laminaria East","Cook Bay",10.5
2013,206,"Laminaria North","Cook Bay",11.5
2013,207,"Laminaria North","Cook Bay",11.1
2013,206,"Laminaria South","Cook Bay",10.9
2013,207,"Laminaria South","Cook Bay",11.3
2013,207,"Middle Cove","Cook Bay",10.9
2013,204,"Back Bay eelgrass","Anton Larson Bay",13.8
2013,205,"Back Bay eelgrass","Anton Larson Bay",14.1
2013,204,"Cobble point","Anton Larson Bay",12
2013,205,"Cobble point","Anton Larson Bay",11.7
2013,204,"Eelgrass patches","Anton Larson Bay",11.8
2013,205,"Eelgrass patches","Anton Larson Bay",10.8
2013,204,"Eelgrass point","Anton Larson Bay",11.5
2013,205,"Eelgrass point","Anton Larson Bay",11
2013,204,"Laminaria #2","Anton Larson Bay",12.8
2013,205,"Laminaria #2","Anton Larson Bay",13.2
2013,204,"Laminaria Point","Anton Larson Bay",11.8
2013,205,"Laminaria Point","Anton Larson Bay",10.7
2013,204,"White rock","Anton Larson Bay",13.1
2013,205,"White rock","Anton Larson Bay",13
2013,204,"Wooden boat","Anton Larson Bay",12.9
2013,205,"Wooden boat","Anton Larson Bay",12.6
2013,240,"Bare North","Cook Bay",10.1
2013,242,"Bare North","Cook Bay",10.4
2013,240,"Eelgrass North","Cook Bay",10.2
2013,242,"Eelgrass North","Cook Bay",10.1
2013,240,"Eelgrass South","Cook Bay",10.4
2013,242,"Eelgrass South","Cook Bay",11.4
2013,240,"Eelgrass West","Cook Bay",10.7
2013,242,"Eelgrass West","Cook Bay",11.4
2013,240,"Laminaria East","Cook Bay",10.2
2013,242,"Laminaria East","Cook Bay",10.3
2013,240,"Laminaria North","Cook Bay",10.2
2013,242,"Laminaria North","Cook Bay",10.2
2013,240,"Laminaria South","Cook Bay",10.1
2013,242,"Laminaria South","Cook Bay",10.9
2013,240,"Middle Cove","Cook Bay",10.1
2013,242,"Middle Cove","Cook Bay",10.2
2013,239,"Back Bay eelgrass","Anton Larson Bay",10.8
2013,241,"Back Bay eelgrass","Anton Larson Bay",10.9
2013,239,"Cobble point","Anton Larson Bay",10.3
2013,241,"Cobble point","Anton Larson Bay",10.9
2013,239,"Eelgrass patches","Anton Larson Bay",11.6
2013,239,"Eelgrass point","Anton Larson Bay",11
2013,241,"Eelgrass point","Anton Larson Bay",10.2
2013,239,"Laminaria #2","Anton Larson Bay",10.9
2013,241,"Laminaria #2","Anton Larson Bay",10.1
2013,239,"Laminaria Point","Anton Larson Bay",11
2013,241,"Laminaria Point","Anton Larson Bay",9.7
2013,239,"White rock","Anton Larson Bay",11.4
2013,241,"White rock","Anton Larson Bay",11.4
2013,239,"Wooden boat","Anton Larson Bay",10.8
2013,241,"Wooden boat","Anton Larson Bay",11
2014,203,"Bare North","Cook Bay",12.2
2014,203,"Eelgrass North","Cook Bay",12.4
2014,203,"Eelgrass South","Cook Bay",12.6
2014,203,"Eelgrass West","Cook Bay",12.5
2014,203,"Laminaria East","Cook Bay",12
2014,203,"Laminaria North","Cook Bay",12.1
2014,203,"Laminaria South","Cook Bay",12.9
2014,203,"Middle Cove","Cook Bay",11.8
2014,197,"Back Bay eelgrass","Anton Larson Bay",11.8
2014,197,"Cobble point","Anton Larson Bay",10.2
2014,197,"Eelgrass patches","Anton Larson Bay",11.6
2014,197,"Eelgrass point","Anton Larson Bay",11.8
2014,197,"Laminaria #2","Anton Larson Bay",11.1
2014,197,"Laminaria Point","Anton Larson Bay",11.7
2014,197,"White rock","Anton Larson Bay",10.5
2014,197,"Wooden boat","Anton Larson Bay",11.1
2014,235,"Bare North","Cook Bay",12.3
2014,235,"Eelgrass North","Cook Bay",12.3
2014,235,"Eelgrass South","Cook Bay",12.1
2014,235,"Eelgrass West","Cook Bay",12.6
2014,235,"Laminaria East","Cook Bay",11.9
2014,235,"Laminaria North","Cook Bay",12.2
2014,235,"Laminaria South","Cook Bay",12.1
2014,235,"Middle Cove","Cook Bay",12.1
2014,232,"Back Bay eelgrass","Anton Larson Bay",12.7
2014,232,"Cobble point","Anton Larson Bay",12.4
2014,232,"Eelgrass patches","Anton Larson Bay",12.4
2014,232,"Eelgrass point","Anton Larson Bay",12
2014,232,"Laminaria #2","Anton Larson Bay",13.4
2014,232,"Laminaria Point","Anton Larson Bay",11.9
2014,232,"White rock","Anton Larson Bay",13.6
2014,232,"Wooden boat","Anton Larson Bay",12
2015,193,"Bare North","Cook Bay",12.7
2015,193,"Eelgrass North","Cook Bay",13.2
2015,193,"Eelgrass South","Cook Bay",10.7
2015,193,"Eelgrass West","Cook Bay",12.6
2015,193,"Laminaria East","Cook Bay",11
2015,193,"Laminaria North","Cook Bay",12.8
2015,193,"Laminaria South","Cook Bay",10.7
2015,193,"Middle Cove","Cook Bay",11.9
2015,192,"Back Bay eelgrass","Anton Larson Bay",12
2015,192,"Cobble point","Anton Larson Bay",11.6
2015,192,"Eelgrass patches","Anton Larson Bay",11.5
2015,192,"Eelgrass point","Anton Larson Bay",10.7
2015,192,"Laminaria #2","Anton Larson Bay",11.1
2015,192,"Laminaria Point","Anton Larson Bay",10.7
2015,192,"White rock","Anton Larson Bay",11.6
2015,192,"Wooden boat","Anton Larson Bay",11.9
2015,238,"Bare North","Cook Bay",13.7
2015,238,"Eelgrass North","Cook Bay",14.3
2015,238,"Eelgrass South","Cook Bay",12.6
2015,238,"Eelgrass West","Cook Bay",14.2
2015,238,"Laminaria East","Cook Bay",13.4
2015,238,"Laminaria North","Cook Bay",14.2
2015,238,"Laminaria South","Cook Bay",12.7
2015,238,"Middle Cove","Cook Bay",13.6
2015,235,"Back Bay eelgrass","Anton Larson Bay",12.8
2015,234,"Cobble point","Anton Larson Bay",12.1
2015,235,"Cobble point","Anton Larson Bay",12.4
2015,234,"Eelgrass patches","Anton Larson Bay",13.1
2015,235,"Eelgrass patches","Anton Larson Bay",13.2
2015,234,"Eelgrass point","Anton Larson Bay",12.1
2015,235,"Eelgrass point","Anton Larson Bay",12.4
2015,235,"Laminaria #2","Anton Larson Bay",12.6
2015,234,"Laminaria Point","Anton Larson Bay",12
2015,235,"Laminaria Point","Anton Larson Bay",12.3
2015,234,"White rock","Anton Larson Bay",12.6
2015,235,"White rock","Anton Larson Bay",12.3
2015,235,"Wooden boat","Anton Larson Bay",12.7
2016,197,"Bare North","Cook Bay",13.7
2016,197,"Eelgrass North","Cook Bay",14
2016,197,"Eelgrass South","Cook Bay",12.6
2016,197,"Eelgrass West","Cook Bay",15
2016,197,"Laminaria East","Cook Bay",12.9
2016,197,"Laminaria North","Cook Bay",14
2016,197,"Laminaria South","Cook Bay",12.9
2016,197,"Middle Cove","Cook Bay",12.9
2016,198,"Back Bay eelgrass","Anton Larson Bay",13.8
2016,198,"Cobble point","Anton Larson Bay",13.4
2016,198,"Eelgrass patches","Anton Larson Bay",13
2016,198,"Eelgrass point","Anton Larson Bay",12.8
2016,198,"Laminaria #2","Anton Larson Bay",13.4
2016,198,"Laminaria Point","Anton Larson Bay",12.7
2016,198,"White rock","Anton Larson Bay",13.9
2016,198,"Wooden boat","Anton Larson Bay",13.5
2017,196,"Bare North","Cook Bay",10.4
2017,196,"Eelgrass North","Cook Bay",10.6
2017,196,"Eelgrass South","Cook Bay",10.2
2017,196,"Eelgrass West","Cook Bay",11.4
2017,196,"Laminaria East","Cook Bay",10.8
2017,196,"Laminaria North","Cook Bay",10.6
2017,196,"Laminaria South","Cook Bay",10.1
2017,196,"Middle Cove","Cook Bay",10.3
2017,194,"Back Bay eelgrass","Anton Larson Bay",14.1
2017,194,"Cobble point","Anton Larson Bay",11.3
2017,194,"Eelgrass patches","Anton Larson Bay",12.1
2017,194,"Eelgrass point","Anton Larson Bay",10.9
2017,194,"Laminaria #2","Anton Larson Bay",14.1
2017,194,"Laminaria Point","Anton Larson Bay",10.4
2017,194,"White rock","Anton Larson Bay",12.9
2017,194,"Wooden boat","Anton Larson Bay",13.3
2018,199,"Back Bay eelgrass","Anton Larson Bay",11.7
2018,197,"Bare North","Cook Bay",10.3
2018,198,"Bare North","Cook Bay",10
2018,199,"Cobble point","Anton Larson Bay",10.5
2018,197,"Eelgrass North","Cook Bay",10
2018,198,"Eelgrass North","Cook Bay",11.1
2018,199,"Eelgrass patches","Anton Larson Bay",11.4
2018,199,"Eelgrass point","Anton Larson Bay",12.4
2018,197,"Eelgrass South","Cook Bay",10.9
2018,198,"Eelgrass South","Cook Bay",10
2018,197,"Eelgrass West","Cook Bay",11.5
2018,198,"Eelgrass West","Cook Bay",12.7
2018,199,"Laminaria #2","Anton Larson Bay",12.1
2018,197,"Laminaria East","Cook Bay",9.8
